Move_1,Move_2,Move_3,Move_4,Move_5,Move_6,Move_7,Move_8,Move_9,Move_10,Move_11,Move_12,Move_13,Move_14,Move_15,Move_16,Move_17,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,
8 <-> 4,5 <-> 9,11 <-> 7,14 <-> 13,7 <-> 6,,,,,,,,,,,,,32,32,34,36,49,,,,,,,,,,,,
13 <-> 12,7 <-> 6,5 <-> 9,9 <-> 10,7 <-> 3,,,,,,,,,,,,,35,37,40,40,51,,,,,,,,,,,,
8 <-> 4,2 <-> 3,11 <-> 7,7 <-> 3,2 <-> 1,,,,,,,,,,,,,32,37,39,48,53,,,,,,,,,,,,
14 <-> 13,13 <-> 12,9 <-> 10,8 <-> 4,7 <-> 3,,,,,,,,,,,,,32,41,41,43,53,,,,,,,,,,,,
7 <-> 3,10 <-> 11,13 <-> 12,6 <-> 5,9 <-> 12,,,,,,,,,,,,,37,39,44,72,82,,,,,,,,,,,,
14 <-> 13,11 <-> 7,2 <-> 1,2 <-> 3,8 <-> 4,,,,,,,,,,,,,32,34,36,44,46,,,,,,,,,,,,
14 <-> 13,7 <-> 6,12 <-> 8,13 <-> 12,2 <-> 1,,,,,,,,,,,,,32,34,39,48,50,,,,,,,,,,,,
7 <-> 6,2 <-> 1,7 <-> 3,10 <-> 11,9 <-> 12,,,,,,,,,,,,,32,34,51,78,83,,,,,,,,,,,,
8 <-> 4,2 <-> 3,9 <-> 12,12 <-> 8,6 <-> 5,,,,,,,,,,,,,32,37,42,51,65,,,,,,,,,,,,
10 <-> 11,9 <-> 12,11 <-> 7,12 <-> 8,7 <-> 6,,,,,,,,,,,,,30,34,43,49,63,,,,,,,,,,,,
13 <-> 12,8 <-> 4,14 <-> 13,10 <-> 14,2 <-> 3,,,,,,,,,,,,,35,37,43,57,62,,,,,,,,,,,,
