0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
37,61,63,78,79,88,95,97,111,136,152,161,170,170,170,170,170
32,32,32,39,55,55,71,85,94,94,119,119,136,152,161,161,170
35,37,57,60,60,110,118,127,127,129,136,136,136,136,161,161,170
32,41,43,43,45,52,57,96,113,127,143,152,152,152,161,161,170
35,35,35,40,71,71,87,109,109,109,118,127,152,161,161,161,170
30,30,32,34,43,43,68,91,108,152,152,161,170,170,170,170,170
37,42,47,49,50,56,56,97,113,127,152,161,170,170,170,170,170
32,34,47,49,62,121,130,161,170,170,170,170,170,170,170,170,170
32,33,43,43,58,112,121,143,152,161,170,170,170,170,170,170,170
32,38,38,42,54,58,67,81,120,145,170,170,170,170,170,170,170
32,38,38,48,92,92,94,145,161,170,170,170,170,170,170,170,170
30,44,46,55,60,62,79,93,95,170,170,170,170,170,170,170,170
30,37,42,51,90,99,116,118,124,138,161,170,170,170,170,170,170
37,42,77,82,102,102,111,117,129,152,161,170,170,170,170,170,170
30,32,46,48,57,71,79,90,104,108,117,136,152,161,170,170,170
32,32,35,51,60,92,98,103,161,170,170,170,170,170,170,170,170
37,45,66,66,75,111,113,115,122,131,161,170,170,170,170,170,170
32,38,44,65,74,74,83,97,99,106,145,170,170,170,170,170,170
32,34,36,50,52,81,90,144,152,152,161,161,170,170,170,170,170
32,37,40,90,97,161,170,170,170,170,170,170,170,170,170,170,170
32,39,43,44,48,57,60,66,86,106,122,161,170,170,170,170,170
32,39,40,53,55,64,78,84,92,153,161,170,170,170,170,170,170
30,32,34,37,73,90,102,111,117,131,145,161,170,170,170,170,170
37,41,44,72,81,91,111,120,161,170,170,170,170,170,170,170,170
32,38,43,52,88,90,90,97,100,145,161,170,170,170,170,170,170
30,32,38,42,56,79,88,105,119,145,161,170,170,170,170,170,170
32,52,54,78,81,83,100,120,129,138,145,170,170,170,170,170,170
30,35,52,54,58,83,84,152,161,170,170,170,170,170,170,170,170
35,38,69,69,71,73,81,88,113,152,161,170,170,170,170,170,170
30,32,32,41,81,104,134,143,152,161,170,170,170,170,170,170,170
32,35,48,50,52,58,59,68,77,127,143,152,161,170,170,170,170
35,41,43,48,68,80,82,99,136,136,145,170,170,170,170,170,170
32,32,32,52,52,57,62,68,82,102,118,118,127,136,161,170,170
35,39,43,80,84,88,94,152,161,170,170,170,170,170,170,170,170
32,34,38,85,87,89,126,135,143,152,161,170,170,170,170,170,170
30,32,41,41,45,52,64,91,105,136,152,161,170,170,170,170,170
32,37,44,48,53,63,116,161,170,170,170,170,170,170,170,170,170
30,34,36,42,59,79,93,99,108,117,129,136,161,170,170,170,170
32,40,46,48,65,74,81,90,92,115,122,136,152,161,170,170,170
35,35,40,60,65,74,111,113,120,136,152,161,170,170,170,170,170
30,34,69,74,83,90,99,105,125,131,161,170,170,170,170,170,170
30,35,37,39,59,73,83,89,98,105,136,145,170,170,170,170,170
32,32,39,70,72,72,134,143,152,161,170,170,170,170,170,170,170
35,37,53,57,84,86,135,152,161,170,170,170,170,170,170,170,170
32,34,36,36,62,71,80,84,127,136,145,170,170,170,170,170,170
37,42,46,55,60,84,129,138,161,170,170,170,170,170,170,170,170
32,37,37,73,75,80,134,143,152,161,170,170,170,170,170,170,170
32,41,46,48,50,73,85,93,109,116,161,170,170,170,170,170,170
30,30,32,54,56,72,72,86,102,111,120,152,161,170,170,170,170
32,41,42,47,87,101,104,108,145,170,170,170,170,170,170,170,170
37,38,42,51,92,92,102,102,106,161,170,170,170,170,170,170,170
35,37,42,49,69,75,93,104,118,130,161,170,170,170,170,170,170
32,34,41,83,92,100,161,170,170,170,170,170,170,170,170,170,170
30,30,32,41,42,59,65,74,86,131,161,170,170,170,170,170,170
32,34,47,51,59,86,99,105,114,128,136,145,170,170,170,170,170
32,35,71,77,82,102,104,113,152,161,170,170,170,170,170,170,170
35,35,40,42,55,59,85,101,117,126,135,152,161,170,170,170,170
35,35,37,37,45,81,88,95,101,110,161,170,170,170,170,170,170
32,37,40,50,60,60,91,136,152,161,170,170,170,170,170,170,170
32,34,39,45,79,81,90,107,131,161,170,170,170,170,170,170,170
30,34,39,47,56,58,64,85,161,170,170,170,170,170,170,170,170
30,32,37,43,51,53,83,87,96,127,152,161,161,161,170,170,170
30,32,41,50,59,60,67,106,112,119,161,170,170,170,170,170,170
30,35,40,60,60,60,80,111,136,161,170,170,170,170,170,170,170
32,34,44,46,81,93,102,161,170,170,170,170,170,170,170,170,170
30,32,41,46,52,62,92,127,129,161,170,170,170,170,170,170,170
32,37,39,48,55,57,63,65,109,161,170,170,170,170,170,170,170
30,34,35,44,58,66,82,127,136,161,170,170,170,170,170,170,170
30,37,54,58,58,62,113,161,170,170,170,170,170,170,170,170,170
37,47,49,54,63,68,68,120,145,170,170,170,170,170,170,170,170
32,38,43,50,83,96,161,170,170,170,170,170,170,170,170,170,170
30,35,49,73,80,82,82,93,119,135,143,152,161,170,170,170,170
30,32,41,80,86,111,111,116,125,145,161,170,170,170,170,170,170
30,34,35,80,91,103,113,122,127,161,170,170,170,170,170,170,170
30,34,36,64,64,66,75,134,143,152,161,170,170,170,170,170,170
32,41,78,81,104,113,118,125,131,145,161,170,170,170,170,170,170
35,35,37,80,89,89,106,108,122,161,170,170,170,170,170,170,170
32,41,47,58,58,72,76,85,127,129,161,170,170,170,170,170,170
30,35,39,57,93,102,104,106,113,127,136,145,170,170,170,170,170
37,45,45,49,51,68,74,88,88,97,136,152,161,170,170,170,170
32,34,41,74,78,87,90,91,92,152,161,170,170,170,170,170,170
30,35,37,54,76,82,96,105,119,144,161,170,170,170,170,170,170
37,61,63,66,102,104,104,116,122,161,170,170,170,170,170,170,170
30,37,69,71,80,87,91,108,127,136,152,161,170,170,170,170,170
32,38,39,43,51,77,79,86,95,97,106,115,129,145,170,170,170
32,36,41,50,55,59,61,91,100,108,152,161,170,170,170,170,170
32,38,40,49,54,57,73,77,136,161,170,170,170,170,170,170,170
32,37,40,51,68,105,119,128,153,170,170,170,170,170,170,170,170
30,34,39,73,75,101,153,161,170,170,170,170,170,170,170,170,170
32,36,47,56,59,90,107,161,170,170,170,170,170,170,170,170,170
32,37,43,51,80,85,105,107,116,161,170,170,170,170,170,170,170
30,32,32,39,87,95,100,107,143,152,161,170,170,170,170,170,170
32,41,56,59,82,96,101,107,124,170,170,170,170,170,170,170,170
32,39,39,43,59,68,86,121,130,161,170,170,170,170,170,170,170
32,37,42,51,56,68,76,100,108,170,170,170,170,170,170,170,170
32,34,45,47,95,97,106,115,161,170,170,170,170,170,170,170,170
32,37,44,48,74,118,143,152,161,170,170,170,170,170,170,170,170
35,35,35,49,54,63,99,116,136,138,170,170,170,170,170,170,170
32,37,46,50,53,61,94,100,131,170,170,170,170,170,170,170,170
30,37,41,77,79,88,113,116,152,161,170,170,170,170,170,170,170
37,42,46,55,68,82,105,161,170,170,170,170,170,170,170,170,170
30,32,43,52,54,60,64,103,152,161,170,170,170,170,170,170,170
30,35,42,56,85,85,94,122,131,145,170,170,170,170,170,170,170
32,44,50,79,88,90,107,127,143,152,161,170,170,170,170,170,170
32,42,51,63,68,88,95,97,104,120,122,136,161,170,170,170,170
30,39,41,53,61,66,75,95,101,120,125,145,161,170,170,170,170
30,34,52,52,54,63,68,98,134,143,152,161,170,170,170,170,170
32,37,47,55,80,85,99,144,152,161,170,170,170,170,170,170,170
30,35,48,51,54,57,107,127,136,152,161,170,170,170,170,170,170
32,35,37,47,95,104,118,118,127,136,161,170,170,170,170,170,170
35,41,47,52,56,81,83,93,102,161,170,170,170,170,170,170,170
32,34,39,46,50,82,91,97,106,126,170,170,170,170,170,170,170
32,42,46,92,99,100,105,170,170,170,170,170,170,170,170,170,170
32,34,44,79,91,127,152,161,170,170,170,170,170,170,170,170,170
30,32,36,70,75,80,87,96,127,136,161,170,170,170,170,170,170
32,37,46,80,82,83,92,93,101,113,127,136,145,161,170,170,170
32,34,34,36,39,59,71,96,135,152,161,170,170,170,170,170,170
30,32,34,42,56,61,70,113,115,152,161,170,170,170,170,170,170
35,55,61,86,88,111,113,120,122,152,161,170,170,170,170,170,170
32,34,60,61,61,63,89,98,107,113,143,152,161,170,170,170,170
32,35,80,83,90,94,143,152,161,170,170,170,170,170,170,170,170
30,32,39,45,58,102,127,143,152,161,170,170,170,170,170,170,170
30,30,37,39,71,73,105,122,131,161,170,170,170,170,170,170,170
32,41,43,51,56,109,118,161,170,170,170,170,170,170,170,170,170
35,37,45,47,56,90,90,97,104,161,170,170,170,170,170,170,170
30,32,32,54,56,65,68,88,102,127,152,161,170,170,170,170,170
32,44,45,54,85,93,100,161,170,170,170,170,170,170,170,170,170
32,37,38,42,86,88,100,107,116,122,131,161,170,170,170,170,170
32,42,42,93,95,104,118,120,127,152,161,170,170,170,170,170,170
30,34,42,44,53,58,63,72,79,104,136,152,161,170,170,170,170
32,32,32,40,42,72,72,79,118,127,143,152,152,170,170,170,170
32,44,45,54,94,170,170,170,170,170,170,170,170,170,170,170,170
32,32,32,39,72,87,96,152,161,170,170,170,170,170,170,170,170
30,32,34,36,50,59,61,93,127,136,161,170,170,170,170,170,170
32,41,44,45,57,73,82,104,113,136,152,161,170,170,170,170,170
30,30,31,62,79,97,104,113,125,161,170,170,170,170,170,170,170
32,33,46,54,59,65,67,68,77,97,127,136,161,170,170,170,170
30,30,44,49,69,71,89,90,129,136,161,170,170,170,170,170,170
32,37,42,51,81,104,110,161,170,170,170,170,170,170,170,170,170
32,41,70,71,79,81,83,92,116,125,161,170,170,170,170,170,170
30,32,35,40,42,51,107,116,136,161,170,170,170,170,170,170,170
30,32,34,48,50,59,109,109,134,143,152,161,170,170,170,170,170
32,34,34,53,67,101,110,127,136,152,161,170,170,170,170,170,170
30,39,48,57,63,65,92,99,122,152,161,170,170,170,170,170,170
37,45,86,88,90,97,100,145,170,170,170,170,170,170,170,170,170
32,37,37,61,70,72,95,134,143,152,161,170,170,170,170,170,170
30,35,80,82,85,94,108,113,139,153,161,170,170,170,170,170,170
35,35,40,45,57,57,88,88,90,122,161,170,170,170,170,170,170
30,30,30,40,49,89,94,108,114,144,153,161,170,170,170,170,170
32,32,41,41,48,60,62,78,110,127,136,152,152,170,170,170,170
30,32,41,47,82,89,91,96,102,152,161,170,170,170,170,170,170
32,34,39,48,62,96,105,145,170,170,170,170,170,170,170,170,170
30,37,39,44,74,143,152,161,170,170,170,170,170,170,170,170,170
30,32,41,80,82,91,93,113,119,161,170,170,170,170,170,170,170
30,37,41,44,65,104,106,115,124,161,170,170,170,170,170,170,170
35,37,40,80,83,86,110,135,144,153,161,170,170,170,170,170,170
32,34,54,59,68,70,76,83,113,115,124,161,170,170,170,170,170
30,37,38,40,51,56,76,122,131,170,170,170,170,170,170,170,170
32,33,54,63,68,82,98,102,116,161,170,170,170,170,170,170,170
32,37,46,48,50,56,90,99,101,126,138,161,170,170,170,170,170
30,30,39,94,99,119,136,138,170,170,170,170,170,170,170,170,170
32,37,39,39,85,116,125,161,170,170,170,170,170,170,170,170,170
30,34,49,57,57,96,105,109,121,130,144,152,161,170,170,170,170
30,37,39,44,58,61,118,120,129,161,170,170,170,170,170,170,170
32,32,34,64,64,73,82,92,101,122,131,170,170,170,170,170,170
35,35,55,57,59,63,82,88,102,107,116,125,131,170,170,170,170
32,34,36,38,55,69,95,97,106,106,161,170,170,170,170,170,170
30,30,34,36,62,71,72,92,118,134,143,152,161,170,170,170,170
30,32,69,78,87,92,102,116,122,152,161,170,170,170,170,170,170
32,39,43,48,68,68,68,107,107,152,161,170,170,170,170,170,170
35,35,46,49,54,66,68,68,84,106,129,161,170,170,170,170,170
32,41,43,48,54,59,73,78,101,110,112,124,161,170,170,170,170
30,32,36,45,93,93,98,118,118,136,145,161,170,170,170,170,170
32,32,48,81,85,85,88,100,109,118,138,138,161,170,170,170,170
30,37,41,43,61,66,71,116,125,131,145,161,170,170,170,170,170
32,43,48,65,65,87,127,152,161,170,170,170,170,170,170,170,170
30,32,46,55,55,64,66,80,93,127,143,152,161,170,170,170,170
